title,company,location,job_type,salary,url,scraped_at
Marine spray painters and labourers,,"Coomera,Gold Coast QLD",N/A,$40 – $50 per hour,https://www.seek.com.au/job/92648946?type=standard&ref=search-standalone#sol=b45476721858f5a896e9c3e6f5e57ccf9c096ef2,2026-06-20 15:17:28
LABOURERS,,Brisbane QLD,N/A,$35 – $50 per hour,https://www.seek.com.au/job/92242329?type=standard&ref=search-standalone#sol=28bb41d57584f3d17b0b1cc7e97ae17c30b7cb2e,2026-06-20 15:17:28
labourers for blasting and painting,,"Murarrie,Brisbane QLD",N/A,$35 – $40 per hour,https://www.seek.com.au/job/92736721?type=standard&ref=search-standalone#sol=b27850ecd3e2ddc2de431caabb3704dbd994d9ca,2026-06-20 15:17:28
Yard Hands & Labourers,,Brisbane QLD,Contract,N/A,https://www.seek.com.au/job/92824343?type=standard&ref=search-standalone#sol=472c5a1f133bec6d6ecca2a279a5e02ea1299c6e,2026-06-20 15:17:28
Labourer,,Brisbane QLD,Full-time,N/A,https://www.seek.com.au/job/92837625?type=standard&ref=search-standalone#sol=3038a553448b88e6007792dd9aa25b0cc5d1a949,2026-06-20 15:17:28
Brisbane City Council - Pipe Layers & Civil Labourers North,,"Eagle Farm,Brisbane QLD",Contract,$45 - $46 p.h. + Allowances + Super,https://www.seek.com.au/job/92823211?type=standard&ref=search-standalone#sol=32fc1f81af8680b97ab460c2dc8f28b9cd4553ac,2026-06-20 15:17:28
Brisbane City Council - Asphalt Labourer | Eagle Farm,,"Eagle Farm,Brisbane QLD",Contract,$45 - $58 p.h. + EBA Allowances + overtime + penal,https://www.seek.com.au/job/92819869?type=standard&ref=search-standalone#sol=8023716b980b7b4925d78145f7631d544e580f08,2026-06-20 15:17:28
Concreter and labourer,,Brisbane QLD,N/A,$45 – $56 per hour,https://www.seek.com.au/job/92773290?type=standard&ref=search-standalone#sol=70695e9b942a10de25acfc6d44f5ad449bf5d3d1,2026-06-20 15:17:28
Concreters & labourers required,,"Whitsundays,Northern QLD",Casual,$40 – $55 per hour,https://www.seek.com.au/job/92763100?type=standard&ref=search-standalone#sol=4d8876b4e12b9f5ea024a0fbc3ffc3bfec5a4e78,2026-06-20 15:17:28
Commercial Duct Installer / Skilled Labourer - 9 day fortnight,,Brisbane QLD,N/A,$40 – $60 per hour,https://www.seek.com.au/job/92551569?type=standard&ref=search-standalone#sol=87ca8f868bcc850d619ecb6cd5183da84c9a5aa9,2026-06-20 15:17:28
LABOURERS,,"Southern Suburbs & Logan,Brisbane QLD",N/A,$35 – $50 per hour,https://www.seek.com.au/job/92242361?type=standard&ref=search-standalone#sol=6a8c1c802689602ca0db004f6e2159c0da34f520,2026-06-20 15:17:28
Construction Labourer,,atBuildsafe Queensland Pty Ltd,Casual,$37.85 – $40.20 per hour,https://www.seek.com.au/job/92595289?type=standard&ref=search-standalone#sol=611d44681e703e74409e3a187e9704bf8b81ad8a,2026-06-20 15:17:28
Builder's Labourer,,"Redbank Plains,Brisbane QLD",N/A,$32 – $45 per hour,https://www.seek.com.au/job/92742424?type=standard&ref=search-standalone#sol=08ecb418574e07bb7bcb308fd7836a5133e3643e,2026-06-20 15:17:28
DEMOLITION & ASBESTOS LABOURER,,Brisbane QLD,Casual,$40 – $60 per hour based on tickets and experience,https://www.seek.com.au/job/92741705?type=standard&ref=search-standalone#sol=c6830ada20335b6b5f47379b20f7a2a0ce36a7de,2026-06-20 15:17:28
Skilled Civil Labourers,,"Lawnton,Brisbane QLD",Casual,$35 – $40 per hour,https://www.seek.com.au/job/92790177?type=standard&ref=search-standalone#sol=78ec498d95fc3aabd743cebc5eba3e9642ae8cf5,2026-06-20 15:17:28
Labourers | Cleaners | Traffic Controllers,,Brisbane QLD,N/A,N/A,https://www.seek.com.au/job/92650871?type=standard&ref=search-standalone#sol=d5259a20bcc420932442c7c1462a6cae0411e0d5,2026-06-20 15:17:28
Pipe Laying Labourers,,atWorkPac - Brisbane,Casual,$40 – $45 per hour,https://www.seek.com.au/job/92738592?type=standard&ref=search-standalone#sol=66291f44500a3fc355f6096a14927c82d60e481e,2026-06-20 15:17:28
Skilled Civil Labourers - Logan/Ipswich,,Brisbane QLD,Casual,N/A,https://www.seek.com.au/job/92803874?type=standard&ref=search-standalone#sol=3d4673962844016fe3251c152fbfa65feb7cdd22,2026-06-20 15:17:28
Civil Labourer,,"Toowoomba,Toowoomba & Darling Downs QLD",N/A,$35 – $40 per hour,https://www.seek.com.au/job/92737314?type=standard&ref=search-standalone#sol=1dbea8b908fffa181660fbb70834b174072e39f9,2026-06-20 15:17:28
Civil Labourers x3,,Brisbane QLD,Contract,$37.50-$39,https://www.seek.com.au/job/92765053?type=standard&ref=search-standalone#sol=f787914baf42f8c30a9b3361b3861982243dd93c,2026-06-20 15:17:28
Trades Assistant,,Brisbane QLD,N/A,$40 - $42 p.h. + Super + Overtime,https://www.seek.com.au/job/92814688?type=standard&ref=search-standalone#sol=2d3471dd0427f2131e045099c9493da3cc0f0a8b,2026-06-20 15:17:28
Northside - Construction Labourers,,atNow Careers QLD,Contract,$35-$50 per hour,https://www.seek.com.au/job/92744681?type=standard&ref=search-standalone#sol=029200ab73b291e32da03bda4cc89bd522cab8e8,2026-06-20 15:17:28
Trades Assistant,,atTransdev Queensland Pty Ltd,Contract,Hourly rate $45.01,https://www.seek.com.au/job/92828816?type=standard&ref=search-standalone#sol=f57b6cf4a6e8f3fe076f4701d74c8d966674d597,2026-06-20 15:17:28
